[2022-02-19 21:36:44] MYD04_3K.A2002239.1045.061.2018004061553.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:38:55] MYD04_3K.A2002239.1450.061.2018004061729.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:39:55] MYD04_3K.A2002239.1540.061.2018004061810.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:39:55] MYD04_3K.A2002239.1630.061.2018004061918.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:41:05] MYD04_3K.A2002239.1720.061.2018004061856.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:43:34] MYD04_3K.A2002239.2125.061.2018004062200.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:44:33] MYD04_3K.A2002239.2215.061.2018004062229.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:44:34] MYD04_3K.A2002239.2305.061.2018004062234.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:45:28] MYD04_3K.A2002239.2355.061.2018004062310.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:46:30] MYD04_3K.A2002240.0135.061.2018004062339.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:47:29] MYD04_3K.A2002240.0400.061.2018004062445.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:48:35] MYD04_3K.A2002240.0540.061.2018004062531.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:49:45] MYD04_3K.A2002240.0720.061.2018004062631.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:50:49] MYD04_3K.A2002240.0810.061.2018004062637.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:53:01] MYD04_3K.A2002240.1215.061.2018004062907.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:54:04] MYD04_3K.A2002240.1305.061.2018004062917.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:54:04] MYD04_3K.A2002240.1355.061.2018004062935.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:55:04] MYD04_3K.A2002240.1445.061.2018004063037.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:55:04] MYD04_3K.A2002240.1535.061.2018004063108.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:56:08] MYD04_3K.A2002240.1625.061.2018004063104.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:57:25] MYD04_3K.A2002240.1850.061.2018004063207.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:58:41] MYD04_3K.A2002240.2030.061.2018004063331.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:00:57] MYD04_3K.A2002240.2300.061.2018004063436.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:02:58] MYD04_3K.A2002241.0305.061.2018004063655.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:04:02] MYD04_3K.A2002241.0445.061.2018004063747.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:05:06] MYD04_3K.A2002241.0535.061.2018004063740.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:06:14] MYD04_3K.A2002241.0715.061.2018004063817.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:07:17] MYD04_3K.A2002241.0940.061.2018004063938.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:08:24] MYD04_3K.A2002241.1120.061.2018004064026.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:09:28] MYD04_3K.A2002241.1210.061.2018004064054.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:09:28] MYD04_3K.A2002241.1300.061.2018004064142.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:10:30] MYD04_3K.A2002241.1350.061.2018004064135.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:10:30] MYD04_3K.A2002241.1440.061.2018004064300.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:12:36] MYD04_3K.A2002241.1755.061.2018004064413.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:13:50] MYD04_3K.A2002241.1845.061.2018004064443.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:13:50] MYD04_3K.A2002241.1935.061.2018004064454.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:15:00] MYD04_3K.A2002241.2025.061.2018004064456.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:16:09] MYD04_3K.A2002241.2205.061.2018004064601.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:17:08] MYD04_3K.A2002242.0030.061.2018004064712.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:18:08] MYD04_3K.A2002242.0210.061.2018004064812.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:19:04] MYD04_3K.A2002242.0300.061.2018004065017.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:19:04] MYD04_3K.A2002242.0350.061.2018004065002.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:20:04] MYD04_3K.A2002242.0440.061.2018004064953.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:22:18] MYD04_3K.A2002242.0845.061.2018004065130.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:23:19] MYD04_3K.A2002242.0935.061.2018004065210.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:23:19] MYD04_3K.A2002242.1025.061.2018004065232.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:24:24] MYD04_3K.A2002242.1115.061.2018004065334.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:24:24] MYD04_3K.A2002242.1205.061.2018004065333.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:26:34] MYD04_3K.A2002242.1520.061.2018004065534.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:27:35] MYD04_3K.A2002242.1610.061.2018004065547.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:27:35] MYD04_3K.A2002242.1700.061.2018004065557.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:28:46] MYD04_3K.A2002242.1750.061.2018004065629.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:28:46] MYD04_3K.A2002242.1840.061.2018004065652.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:29:59] MYD04_3K.A2002242.1930.061.2018004065658.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:32:10] MYD04_3K.A2002242.2335.061.2018004065922.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:33:04] MYD04_3K.A2002243.0025.061.2018004065958.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:33:04] MYD04_3K.A2002243.0115.061.2018004070046.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:33:58] MYD04_3K.A2002243.0205.061.2018004070031.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:36:04] MYD04_3K.A2002243.0610.061.2018004070211.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:36:51] MYD04_3K.A2002243.0645.061.2018004070456.hdf, error: 'vertices' must be a 2D list or array with shape Nx2
[2022-02-19 22:37:11] MYD04_3K.A2002243.0750.061.2018004070327.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:38:11] MYD04_3K.A2002243.0840.061.2018004070401.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:39:20] MYD04_3K.A2002243.1020.061.2018004070411.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:40:26] MYD04_3K.A2002243.1245.061.2018004070511.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:41:32] MYD04_3K.A2002243.1425.061.2018004070615.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:42:30] MYD04_3K.A2002243.1515.061.2018004070648.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:42:31] MYD04_3K.A2002243.1605.061.2018004070654.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:43:36] MYD04_3K.A2002243.1655.061.2018004070711.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:43:36] MYD04_3K.A2002243.1745.061.2018004070748.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:45:52] MYD04_3K.A2002243.2010.061.2018004071014.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:45:52] MYD04_3K.A2002243.2100.061.2018004070939.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:46:54] MYD04_3K.A2002243.2150.061.2018004071032.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:46:54] MYD04_3K.A2002243.2240.061.2018004071114.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:47:50] MYD04_3K.A2002243.2330.061.2018004071147.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:48:51] MYD04_3K.A2002244.0110.061.2018004071208.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:49:50] MYD04_3K.A2002244.0335.061.2018004071301.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:50:54] MYD04_3K.A2002244.0515.061.2018004071408.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:52:04] MYD04_3K.A2002244.0655.061.2018004071454.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:53:06] MYD04_3K.A2002244.0745.061.2018004071513.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:53:06] MYD04_3K.A2002244.0835.061.2018004071624.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:55:12] MYD04_3K.A2002244.1150.061.2018004071626.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:56:19] MYD04_3K.A2002244.1330.061.2018004071841.hdf, error: autodetected range of [nan, nan] is not finite
